Character Number	State Number	SimJ Partial Precision
1	0	0.527631150212
1	1	0.12022891425
1	2	0.373022815511
2	0	0.388888888889
2	1	0.388888888889
3	0	0.00679291889667
3	1	0.00679291889667
4	0	0.0178471834914
4	1	0.333830104322
5	0	0.557765151515
5	1	0.557765151515
5	2	0.2
6	0	0.430985680985
6	1	0.418647619047
6	2	0.410584380975
6	3	0.0
6	4	0.0
7	0	0.675675675676
7	1	0.675675675676
8	0	0.9
8	1	0.472222222222
9	0	0.298429319372
9	1	0.301587301587
10	0	0.750692520776
10	1	0.461866212186
10	2	0.750692520776
11	0	0.733118971061
11	1	0.85373897271
12	0	0.0232558139535
12	1	0.0232558139535
13	0	1.0
13	1	1.0
14	0	0.666666666667
14	1	1.0
15	0	1.0
15	1	1.0
16	0	0.0101252788742
16	1	0.0101252788742
17	0	0.841573340617
17	1	0.841573340617
18	0	0.853181076672
18	1	0.853181076672
19	0	0.0891719745223
19	1	0.0404624277457
19	2	0.21875
20	0	1.0
20	1	1.0
21	0	0.795454545455
21	1	0.795454545455
22	0	1.0
22	1	0.558086560364
23	0	6.2642904125e-05
23	1	6.2642904125e-05
24	0	0.942041712404
24	1	0.942041712404
25	0	0.676470588235
25	1	0.676470588235
26	0	0.669749009247
26	1	0.669749009247
27	0	1.0
27	1	1.0
28	0	0.0576576576577
28	1	0.0461538461538
29	0	0.357142857143
29	1	0.357142857143
30	0	0.4274474274
30	1	0.427427045585
31	0	0.078125
31	1	0.0724637681159
32	0	1.0
32	1	1.0
33	0	0.974358974359
33	1	1.0
33	2	0.807692307692
33	3	0.833333333334
33	4	1.0
34	0	0.164652074485
34	1	0.693204787036
34	2	0.847258178395
34	3	0.693205475543
35	0	1.0
35	1	1.0
36	0	0.109709962169
36	1	0.315217391304
37	0	0.0358422939068
37	1	0.2
38	0	0.695652173913
38	1	0.847826086956
38	2	0.367050691244
39	0	0.0136518771331
39	1	0.34954954955
39	2	0.341397849463
39	3	0.250990379174
40	0	0.799150251062
40	1	0.865384615385
40	2	0.799150251062
41	0	0.164758586361
41	1	0.534759358289
42	0	0.334600760456
42	1	0.578947368421
42	2	0.334600760456
43	0	0.00611638114116
43	1	0.00357438358431
43	2	0.00357438358431
44	0	0.168680521991
44	1	0.564496562879
45	0	0.277777777778
45	1	0.277777777778
46	0	0.0862422997947
46	1	0.0862422997947
47	0	0.00244315590592
47	1	0.000610152945005
48	0	0.107991360691
48	1	0.603389054271
48	2	0.848484848485
49	0	0.867924528302
49	1	0.867924528302
50	0	0.111111111111
50	1	0.111111111111
51	0	0.012160294795
51	1	0.012160294795
51	2	0.95652173913
52	0	0.962962962963
52	1	0.962962962963
53	0	0.75
53	1	0.375
54	0	0.58064516129
54	1	0.58064516129
55	0	0.446153846154
55	1	0.439393939394
55	2	0.56862745098
56	0	1.0
56	1	1.0
57	0	0.918918918919
57	1	0.470588235294
58	0	0.0169491525424
58	1	0.0169491525424
59	0	1.0
59	1	1.0
60	0	0.340909090909
60	1	0.641025641026
61	0	1.0
61	1	1.0
62	0	0.198741478762
62	1	0.261379310345
63	0	0.847826086957
63	1	0.712911713439
64	0	0.00836167010424
64	1	0.00836167010424
65	0	0.00193675742113
65	1	0.00400153905348
65	2	0.00392334389618
65	3	0.0
66	0	0.00213594672698
66	1	0.00178440222525
67	0	0.882473923902
67	1	0.882473923902
68	0	0.513157894737
68	1	0.513157894737
69	0	0.857142857143
69	1	0.857142857143
70	0	0.2
70	1	0.130818201548
70	2	0.128655691522
70	3	0.2
71	0	0.0689655172414
71	1	0.0251145975157
71	2	0.0011995965975
72	0	0.0597609561753
72	1	0.0473933649289
73	0	0.109677419355
73	1	0.0883116883117
74	0	0.666666666667
74	1	0.666666666667
75	0	0.980392156863
75	1	0.980392156863
76	0	0.0227487256938
76	1	0.0588810163694
77	0	0.333333333333
77	1	0.590909090909
78	0	1.0
78	1	1.0
79	0	0.00311264406494
79	1	0.00311238223419
80	0	1.0
80	1	1.0
81	0	1.0
81	1	1.0
82	0	0.701448983699
82	1	0.402897967398
82	2	1.0
83	0	0.846153846154
83	1	0.846153846154
84	0	1.0
84	1	1.0
85	0	0.950118764846
85	1	0.950118764846
85	2	0.952380952381
86	0	0.0289855072464
86	1	0.0289855072464
87	0	0.184210526316
87	1	0.184210526316
88	0	1.0
88	1	1.0
89	0	1.0
89	1	1.0
90	0	0.00295159386068
90	1	0.00295159386068
91	0	1.0
91	1	1.0
92	0	0.711538461538
92	1	0.461653492843
93	0	0.583333333333
